en,ru,zh
English,Russian,Chinese
'End' icon should have the text '\$end',Икона 'Конец' должна содержать текст '\$end',结束图标的文字应为'\$end'
\$count matches found.,Найдено \$count вхождений.,找到\$count个
\$count replacements done.,Сделано \$count замен.,\$count 个替换完成
\$dia_name: Edit diagram description,\$dia_name: Редактировать описание диаграммы,\$dia_name:编辑图描述
\$fun: missing argument \$name,\$fun: требуется аргумент \$name,\$fun: 缺少参数\$name
\$message \(Diagram names were not changed.\),\$message \(Имена диаграмм остались без изменения.\),\$message \(图未更改\)
\$name: diagram description,\$name: описание диаграммы,\$name: 图描述
\$name: diagram name,\$name: название диаграммы,\$name: 图名称
\$text is not a unique case branch.,\$text не является уникальной иконой выбора.,\$text 不是一个独立的选择支
1 match found.,Найдено 1 вхождение.,找到1个
1 match replaced.,Сделана 1 замена.,1个替换完成
A 'case' icon expected.,Ожидается икона 'выбор'.,需要选择支图标
A going up line expected here.,"Здесь ожидается линия, идущая наверх.",需要向上连线
A left-leading line expected here.,"Здесь ожидается линия, ведущая налево.",需要左侧连线
A right t-joint expected after the 'select' icon.,После иконы 'выбор' ожидается правая T-связь.,'选择'后需要右侧的T形连接
A silouette must have exactly one arrow at the right side.,У силуэта должна быть одна стрелка справа.,剪影需要一个右侧箭头
A silouette must have more than one branch.,В силуэте должно быть более одной ветки.,剪影需要多于一个分支
About DRAKON Editor,О программе DRAKON Editor,关于DRAKON Editor
About...,О программе...,关于...
Action,Действие,动作
Add/remove cycle mark,Добавить/удалить метку цикла,添加/删除循环标记
Adjust icon sizes for diagram,Выровнять размеры элементов на диаграмме,调整图中图标大小
Adjust icon sizes,Выровнять размер элементов,调整图标大小
All icons must be connected together.,Все иконы должны быть соединены.,所有图标必须互相联通
An infinite loop detected.,Обнаружен бесконечный цикл.,检测到无限循环
Apply,Применить,应用
Arrow coincides with a line.,Стрелка совпадает с линией.,线与箭头重合
Arrow expected at the top of the diagram.,Наверху диаграммы ожидается стрелка.,箭头应在图顶
Arrow expected here.,Здесь ожидается стрелка.,需要箭头
Arrow expected.,Ожидается стрелка.,需要箭头
Arrow points to a wrong place.,Стрелка указывает в неправильное место.,箭头指向错误
Arrow,Стрелка,箭头
Attribute,Атрибут,属性
Back,Назад,返回
Background,Фон,背景
Bad direction: \$direction,Ошибка направления: \$direction,方向错误: \$direction
Begin/End,Заголовок,开始/结束
Branch footer,Адрес,分支结束
Branch header,Имя ветки,分支开始
Branch name \$text is not found.,Не найдена ветвь с именем \$text.,分支\$text未找到
Branch name \$text is not unique.,Имя ветви \$text не является уникальным.,分支\$text不唯一
Broken horizontal line.,Разорванная горизонталь.,水平线错误
Broken vertical line.,Разорванная вертикаль.,垂直线错误
Cancel,Отмена,取消
Canvas font,Шрифт холста,画布字体
Case sensitive,Учитывать регистр,大小写敏感
Change diagram description,Редактировать описание диаграммы,编辑图描述
Change file description,Редактировать описание файла,编辑文件描述
Change file properties,Редактировать свойства файла,编辑文件属性
Change icon secondary text: item \$item_id,Изменить дополнительный текст элемента: элемент \$item_id,编辑图标次要文本: 项 \$item_id
Change icon text: item \$item_id,Изменить текст элемента: элемент \$item_id,编辑图标文本: 项 \$item_id
Change item,Изменить элемент,编辑项
Change secondary text,Изменить дополнительный текст,编辑次要文本
Change shape,Изменить форму,编辑形状
Change text,Изменить текст,编辑文本
Choose a canvas font,Выберите шрифт для холста,选择画布字体
Choose a PDF font,Выберите шрифт для PDF,选择PDF字体
Choose and open a diagram file that already exists on the disk.,Выбрать и открыть файл диаграммы с диска.,选择一个图文件打开
Clear history,Очистить историю,清除历史记录
Close,Закрыть,关闭
Collapse,Свернуть,折叠
Color:,Цвет:,颜色:
Colors,Цвета,颜色
Command-Enter to save and close,Command-Enter - сохранить и закрыть,Command-Enter - 保存并关闭
Comment primary,Основной комментарий,主说明
Comment secondary,Дополнительный комментарий,副说明
Control-Enter to save and close,Control-Enter - сохранить и закрыть,Ctrl-Enter - 保存并关闭
Copy,Копировать,复制
Could not create database \$filename,Не удалось создать базу данных \$filename,不能创建数据库\$filename
Could not create or replace file \$filename,Не удалось создать или заменить файл \$filename,不能创建或替换文件\$filename
Could not init database \$filename,Не удалось настроить базу данных \$filename,不能初始化数据库\$filename
Could not open database \$filename,Не удалось открыть базу данных \$filename,不能打开数据库\$filename
Create a new diagram file.,Создать новый файл диаграммы.,新建图文件
Create diagram,Создать диаграмму,新建图
Create folder,Создать папку,新建文件夹
Create new...,Создать новый...,新建...
Current diagram,Текущая диаграмма,当前图
Cut,Вырезать,剪切
Database name \$db is already used,Имя базы данных \$db уже используется,数据库\$db已使用
Delete diagram,Удалить диаграмму,删除图
Delete,Удалить,删除
Description:,Описание:,描述:
Description...,Описание...,描述...
Diagram '\$name' not found.,Диаграмма '\$name' не найдена.,未找到图\$name
Diagram description...,Описание диаграммы...,图描述...
Diagram name cannot contain single quotes,Имя диаграммы не может содержать одинарные кавычки,图名不能包含单引号
Diagram name should not be empty,Имя диаграммы не должно быть пустым,图名不能为空
Diagram name should not have trailing and leading spaces,Имя диаграммы не должно начинаться или кончаться пробелами,图名首尾不能有空格
Diagram with name '\$name' already exists.,Диаграмма с именем '\$name' уже есть.,图\$name已存在
diagram_id is empty,diagram_id пуст,diagram_id为空
Directed link down,Направленная связь вниз,下箭头
Directed link to the left,Направленная связь влево,左箭头
